tile,unit,zone,url
10SGH6094,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGH6094.tif
10SGH6095,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGH6095.tif
10SGH6096,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGH6096.tif
10SGH6097,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGH6097.tif
10SGH6098,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGH6098.tif
10SGH6099,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGH6099.tif
10SGJ3729,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGJ3729.tif
10SGJ3730,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGJ3730.tif
10SGJ3731,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGJ3731.tif
10SGJ3733,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGJ3733.tif
10SGJ3734,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGJ3734.tif
10SGJ3735,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGJ3735.tif
10SGJ3736,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGJ3736.tif
10SGJ3737,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGJ3737.tif
10SGJ3828,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGJ3828.tif
10SGJ3829,ca_sierranevada_5_2022_TahoeWest,10,https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/OPR/Projects/CA_SierraNevada_B22/CA_SierraNevada_5_2022/TIFF/USGS_OPR_CA_SierraNevada_B22_bh_10SGJ3829.tif
